Fecha,Equipo Local,Marcador,Equipo Visitante,Tarjeta Roja Local,Tarjeta Roja Visitante
20-11-2024,Atlético Nacional,5 - 0,Santa Fe,0,0
23-11-2024,Deportivo Pasto,0 - 1,Atlético Nacional,0,0
29-11-2024,Millonarios,2 - 1,Atlético Nacional,0,0
02-12-2024,Atlético Nacional,1 - 1,Millonarios,0,0
04-12-2024,Atlético Nacional,2 - 1,Deportivo Pasto,0,0
08-12-2024,Santa Fe,0 - 3,Atlético Nacional,0,0
18-12-2024,Deportes Tolima,1 - 1,Atlético Nacional,0,0
21-12-2024,Atlético Nacional,2 - 0,Deportes Tolima,0,0
19-01-2024,Once Caldas,2 - 1,Boyacá Chicó,2,0
27-01-2024,Boyacá Chicó,2 - 2,Junior,0,0
31-01-2024,Envigado,2 - 0,Boyacá Chicó,0,0
04-02-2024,Boyacá Chicó,1 - 2,Deportivo Pereira,0,0
09-02-2024,Deportivo Cali,4 - 0,Boyacá Chicó,0,0
14-02-2024,Boyacá Chicó,3 - 0,Independiente Medellín,0,0
18-02-2024,Boyacá Chicó,1 - 0,Alianza Petrolera,0,0
22-02-2024,Fortaleza CEIF,1 - 1,Boyacá Chicó,0,0
25-02-2024,Boyacá Chicó,1 - 2,Santa Fe,0,0
29-02-2024,Boyacá Chicó,1 - 1,Deportes Tolima,0,0
08-03-2024,Deportivo Pasto,2 - 1,Boyacá Chicó,0,0
15-03-2024,Boyacá Chicó,2 - 1,Atlético Nacional,0,0
23-03-2024,América de Cali,3 - 2,Boyacá Chicó,0,0
29-03-2024,Boyacá Chicó,1 - 0,Jaguares de Córdoba,0,0
07-04-2024,La Equidad,4 - 0,Boyacá Chicó,0,2
13-04-2024,Boyacá Chicó,1 - 2,Patriotas Boyacá,0,0
19-04-2024,Atlético Bucaramanga,2 - 3,Boyacá Chicó,0,0
21-04-2024,Boyacá Chicó,1 - 2,Rionegro Águilas,0,0
27-04-2024,Millonarios,3 - 0,Boyacá Chicó,0,0
15-07-2024,Boyacá Chicó,0 - 1,Once Caldas,0,0
21-07-2024,Junior,2 - 1,Boyacá Chicó,0,0
31-07-2024,Independiente Medellín,1 - 0,Boyacá Chicó,0,0
06-08-2024,Deportivo Pereira,1 - 0,Boyacá Chicó,0,0
10-08-2024,Boyacá Chicó,1 - 0,Deportivo Cali,0,0
18-08-2024,Boyacá Chicó,0 - 0,Envigado,0,0
23-08-2024,Alianza Petrolera,4 - 0,Boyacá Chicó,0,0
31-08-2024,Boyacá Chicó,2 - 2,Fortaleza CEIF,0,0
13-09-2024,Deportes Tolima,2 - 1,Boyacá Chicó,0,0
21-09-2024,Boyacá Chicó,1 - 0,Deportivo Pasto,0,0
28-09-2024,Atlético Nacional,6 - 2,Boyacá Chicó,0,0
04-10-2024,Boyacá Chicó,0 - 2,América de Cali,0,0
10-10-2024,Santa Fe,3 - 1,Boyacá Chicó,0,0
14-10-2024,Jaguares de Córdoba,1 - 0,Boyacá Chicó,0,0
28-10-2024,Boyacá Chicó,1 - 0,La Equidad,0,0
02-11-2024,Patriotas Boyacá,3 - 0,Boyacá Chicó,0,0
05-11-2024,Boyacá Chicó,1 - 1,Atlético Bucaramanga,0,0
09-11-2024,Rionegro Águilas,0 - 1,Boyacá Chicó,0,0
14-11-2024,Boyacá Chicó,1 - 5,Millonarios,0,0
19-01-2024,Deportes Tolima,1 - 2,Fortaleza CEIF,0,0
25-01-2024,Deportivo Pasto,1 - 4,Deportes Tolima,0,0
31-01-2024,Deportes Tolima,2 - 1,América de Cali,0,0
02-02-2024,Deportes Tolima,2 - 0,Millonarios,0,0
09-02-2024,La Equidad,1 - 1,Deportes Tolima,0,0
14-02-2024,Deportes Tolima,2 - 0,Jaguares de Córdoba,0,0
18-02-2024,Junior,0 - 1,Deportes Tolima,0,0
21-02-2024,Deportes Tolima,0 - 0,Atlético Bucaramanga,0,0
26-02-2024,Deportivo Cali,1 - 2,Deportes Tolima,0,0
29-02-2024,Boyacá Chicó,1 - 1,Deportes Tolima,0,0
09-03-2024,Deportes Tolima,2 - 2,Independiente Medellín,0,0
15-03-2024,Santa Fe,1 - 1,Deportes Tolima,0,0
