id_propiedad,zona,piso,estrato,precio_millones,area_construida,parqueaderos,banios,habitaciones,tipo_vivienda,barrio,longitud,latitud,id_comentarios
4157,zona oeste,9,6,700.0,197.0,2,3,3,apartamento,santa teresita,-7653.0,3449.0,2
4158,zona sur,3,6,450.0,187.0,2,4,3,apartamento,santa teresita,-7653.0,3447.0,29
4159,zona norte,4,6,350.0,133.0,2,3,4,apartamento,santa mónica residencial,-7653.0,3.47,4
4160,zona oeste,4,5,421.0,102.0,1,3,3,apartamento,san fernando viejo,-7653.0,3421.0,2
4161,zona sur,4,6,680.0,200.0,2,4,3,apartamento,pance,-7653.0,3339.0,22
4162,zona sur,4,6,450.0,127.0,2,3,4,apartamento,pance,-7653.0,3347.0,28
4163,zona sur,5,5,500.0,123.0,2,3,3,apartamento,pance,-7653.0,3338.0,31
4164,zona sur,5,6,580.0,127.0,2,4,3,apartamento,pance,-7653.0,3348.0,2
4165,zona sur,1,6,430.0,103.0,2,3,3,apartamento,pance,-7653.0,3356.0,22
4166,zona sur,5,6,330.0,88.0,2,2,2,apartamento,pance,-7653.0,3.36,2
4167,zona sur,3,6,450.0,106.0,2,3,3,apartamento,pance,-7653.0,3352.0,5
4168,zona sur,4,6,520.0,129.0,2,4,2,apartamento,pance,-7653.0,3338.0,8
4169,zona sur,2,6,400.0,103.0,2,2,3,apartamento,pance,-7653.0,3356.0,15
4170,zona sur,4,6,470.0,136.0,1,3,3,apartamento,pance,-7653.0,3348.0,28
4171,zona sur,4,6,400.0,121.0,2,2,3,apartamento,pance,-7653.0,3.36,28
4172,zona sur,3,6,450.0,130.0,2,3,3,apartamento,pance,-7653.0,3339.0,13
4173,zona sur,5,6,515.0,132.0,2,3,2,apartamento,pance,-7653.0,3339.0,5
4174,zona norte,3,4,140.0,58.0,1,2,3,apartamento,menga,-7653.0,3485.0,29
4175,zona sur,4,5,290.0,115.0,2,3,4,apartamento,el ingenio ii,-7653.0,3381.0,20
4176,zona sur,4,5,190.0,84.0,1,2,2,apartamento,el ingenio,-7653.0,3381.0,14
4177,zona sur,2,5,240.0,68.0,1,2,3,apartamento,la hacienda,-7653.0,3396.0,31
4178,zona sur,1,5,230.0,73.0,1,2,3,apartamento,la hacienda,-7653.0,3396.0,19
4179,zona sur,5,6,530.0,145.0,2,4,3,apartamento,ciudad jardín,-7653.0,3352.0,23
4180,zona sur,3,6,325.0,93.0,1,2,3,apartamento,ciudad jardín,-7653.0,3364.0,6
4181,zona sur,1,6,450.0,120.0,2,4,3,apartamento,ciudad jardín,-7653.0,3352.0,29
4182,zona sur,4,6,650.0,164.0,2,5,3,apartamento,ciudad jardín,-7653.0,3352.0,32
4183,zona sur,4,5,440.0,127.0,2,3,3,apartamento,ciudad jardín,-7653.0,3347.0,31
4184,zona sur,2,5,250.0,66.37,1,2,3,apartamento,ciudad bochalema,-7653.0,336.306,25
4185,zona sur,7,5,210.0,74.0,1,2,2,apartamento,ciudad bochalema,-7653.0,336.306,7
4186,zona norte,4,5,520.0,110.0,2,3,3,apartamento,chipichape,-7653.0,347.616,25
4187,zona sur,4,4,255.0,86.0,1,2,3,apartamento,caney,-7653.0,3.38,20
4188,zona sur,1,3,158.0,55.58,1,1,3,apartamento,colseguros,-7653003.0,342.783,7
4189,zona centro,1,3,220.0,147.0,1,3,3,casa,junin,-7653004.0,343.256,2
4190,zona sur,2,5,320.0,150.0,2,3,3,casa,el ingenio,-7653004.0,33.834,22
4191,zona sur,3,5,325.0,94.0,1,3,3,casa,la hacienda,-7653004.0,339.569,9
4192,zona sur,1,6,400.0,131.0,1,2,3,apartamento,parcelaciones pance,-7653004.0,335.944,15
4193,zona sur,4,5,395.0,95.0,2,2,3,apartamento,el ingenio,-7653004.0,33.834,13
4194,zona sur,4,5,270.0,110.0,2,3,3,apartamento,el ingenio,-7653004.0,33.834,19
4195,zona sur,3,5,340.0,90.0,2,2,2,apartamento,el ingenio,-7653004.0,33.834,22
4196,zona sur,3,5,315.0,80.0,1,2,3,apartamento,la hacienda,-7653004.0,339.569,29
4197,zona sur,5,5,358.0,105.0,1,3,3,apartamento,la hacienda,-7653004.0,339.569,10
4198,zona sur,10,5,250.0,67.0,1,2,3,apartamento,la hacienda,-7653004.0,339.543,31
4199,zona sur,3,5,310.0,86.0,1,2,3,apartamento,la hacienda,-7653004.0,339.569,5
4200,zona sur,1,6,450.0,120.0,2,3,3,apartamento,ciudad jardín,-7653004.0,335.397,3
4201,zona sur,5,6,330.0,88.0,2,2,2,apartamento,ciudad jardín,-7653004.0,335.944,18
4202,zona sur,5,6,350.0,95.0,2,2,2,apartamento,ciudad jardín,-7653004.0,335.944,27
4203,zona norte,2,5,295.0,140.0,1,4,5,casa,el bosque,-7653005.0,348.548,14
4204,zona sur,4,3,138.0,60.0,1,1,4,apartamento,zona sur,-7653005.0,341.834,19
4205,zona sur,5,6,495.0,140.0,2,4,4,apartamento,pance,-7653007.0,335.248,14
4206,zona sur,5,6,495.0,140.0,2,4,4,apartamento,pance,-7653007.0,335.248,11
4207,zona sur,5,6,500.0,139.0,2,3,4,apartamento,pance,-7653007.0,335.248,23
4208,zona norte,1,4,360.0,264.5,3,4,6,casa,vipasa,-7653008.0,345.691,14
4209,zona norte,2,5,350.0,300.0,3,5,6,casa,el bosque,-765301.0,348.577,19
4210,zona norte,1,5,350.0,200.0,3,3,4,casa,el bosque,-765301.0,348.503,17
4211,zona sur,7,5,280.0,82.0,1,2,3,apartamento,la hacienda,-765301.0,339.568,26
4212,zona sur,3,5,398.0,133.0,2,3,3,casa,la hacienda,-7653011.0,33.937,16
